,make,year,mileage,state,mpgCity,mpgHighway,engineCylinderCount,fuel,driveTrain,exteriorColor,interiorColor,numberOfKeys,doors,seating,AC,PowerWindows,CDPlayer,PowerLocks,TiltWheel,PowerSeats,imperfections,EngineDesc_Transformed,Transmission_Transformed,Bluetooth,Rear View Camera,price
4202,15,2020.0,48753.0,6,20.0,27.0,6.0,3,4,12,1,2.0,4.0,7.0,1,1,1,1,1,1,1.3862943611198906,5,3,1,1,10.39179145561983
4203,34,2013.0,57561.0,6,16.0,20.0,6.0,3,0,12,3,2.0,4.0,6.0,1,1,1,1,1,0,1.3862943611198906,5,0,0,0,10.274740715974103
4204,10,2017.0,47996.0,5,23.0,34.0,4.0,3,4,0,1,1.0,4.0,5.0,1,1,0,1,1,0,1.3862943611198906,1,0,1,1,9.851720461714246
4205,18,2021.0,9898.0,6,18.0,24.0,6.0,3,4,1,3,2.0,4.0,8.0,1,1,0,1,1,1,1.3862943611198906,5,0,1,1,10.61130164613947
4206,8,2019.0,75130.0,6,17.0,25.0,6.0,2,4,11,1,1.0,4.0,7.0,1,1,1,1,1,1,1.3862943611198906,5,0,1,1,10.085434038999999
4207,10,2013.0,81566.0,18,20.0,28.0,4.0,3,0,14,0,2.0,4.0,7.0,1,1,1,1,1,1,1.3862943611198906,1,0,0,1,10.085434038999999
4208,6,2020.0,53146.0,13,19.0,26.0,6.0,3,4,14,1,2.0,4.0,5.0,1,1,0,1,1,1,1.3862943611198906,5,0,1,1,10.403990075979044
4209,17,2020.0,28322.0,0,22.0,30.0,4.0,3,0,2,1,1.0,4.0,5.0,1,1,0,1,1,0,1.0986122886681098,1,0,1,1,10.126271039034782
4210,30,2018.0,60996.0,17,15.0,21.0,8.0,3,2,6,1,2.0,4.0,6.0,1,1,0,1,1,0,1.3862943611198906,6,0,1,1,10.586357098684939
4211,20,2016.0,37169.0,17,19.0,26.0,6.0,3,3,0,0,1.0,4.0,5.0,1,1,1,1,0,1,1.0986122886681098,5,0,0,1,10.518429918794682
4212,27,2019.0,27094.0,1,27.0,37.0,4.0,3,4,2,1,2.0,4.0,5.0,1,1,0,1,1,1,1.0986122886681098,1,1,0,1,10.188328091653252
4213,11,2020.0,40992.0,1,25.0,28.0,4.0,3,3,12,1,1.0,4.0,5.0,1,1,0,1,0,1,1.3862943611198906,1,0,1,1,10.30865261563529
4214,34,2012.0,33675.0,8,51.0,48.0,4.0,3,4,12,1,1.0,4.0,5.0,1,1,1,1,1,0,1.6094379124341003,1,0,1,0,9.998388557730848
4215,8,2019.0,75320.0,5,17.0,25.0,6.0,2,4,14,1,1.0,4.0,7.0,1,1,0,1,1,1,1.6094379124341003,5,0,1,1,10.025306875857222
4216,1,2018.0,40607.0,17,22.0,28.0,4.0,3,3,11,1,2.0,4.0,5.0,1,1,0,1,0,1,1.791759469228055,1,0,1,1,10.451348811602948
4217,21,2013.0,62577.0,0,18.0,27.0,6.0,3,4,12,2,2.0,4.0,5.0,1,1,1,1,1,1,1.0986122886681098,5,0,0,1,9.851720461714246
4218,34,2019.0,55315.0,13,17.0,21.0,6.0,3,0,14,5,2.0,4.0,5.0,1,1,1,1,1,1,1.6094379124341003,5,0,0,1,10.479848075889779
4219,10,2017.0,44616.0,8,26.0,40.0,4.0,2,4,1,1,2.0,4.0,5.0,1,1,1,1,1,0,1.6094379124341003,1,0,1,1,9.740439071085758
4220,15,2017.0,46717.0,0,24.0,33.0,4.0,3,4,12,1,2.0,4.0,5.0,1,1,1,1,1,1,1.0986122886681098,1,0,1,1,10.126271039034782
4221,24,2014.0,103638.0,13,25.0,32.0,4.0,3,4,2,1,1.0,4.0,5.0,1,1,1,1,1,1,1.3862943611198906,1,0,1,1,9.79762691183662
4222,34,2015.0,54512.0,13,18.0,25.0,6.0,3,4,1,1,1.0,4.0,8.0,1,1,1,1,1,1,1.6094379124341003,5,0,0,1,10.341452118734878
4223,10,2016.0,37243.0,13,26.0,32.0,4.0,3,4,14,1,2.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,3,1,0,10.025306875857222
4224,30,2019.0,38696.0,17,19.0,24.0,6.0,3,2,1,1,2.0,4.0,6.0,1,1,0,1,1,1,1.3862943611198906,5,0,1,1,10.54510456855174
4225,17,2016.0,69505.0,17,23.031790022823607,30.983698752954602,4.0,3,4,6,1,2.0,4.0,5.0,1,1,1,1,1,1,1.6094379124341003,1,0,0,0,9.830432871630217
4226,13,2014.0,47072.0,17,27.0,36.0,4.0,3,4,6,3,2.0,4.0,5.0,1,1,1,1,1,0,1.6094379124341003,1,1,0,1,9.882825556088033
4227,10,2014.0,103827.0,17,23.0,32.0,4.0,3,0,1,1,2.0,4.0,5.0,1,1,1,1,1,0,1.6094379124341003,1,0,1,0,9.679781342959442
4228,10,2018.0,35871.0,8,27.0,29.0,3.0,3,4,8,1,2.0,4.0,5.0,1,1,1,1,1,1,1.3862943611198906,0,0,1,1,9.951849053414007
4229,14,2018.0,35963.0,8,28.0,37.0,4.0,3,4,1,3,2.0,4.0,5.0,1,1,0,1,1,0,1.3862943611198906,1,0,1,1,9.932609366108146
4230,26,2020.0,53413.0,1,24.0,29.0,4.0,3,2,1,1,1.0,4.0,7.0,1,1,0,1,1,1,1.6094379124341003,1,1,0,1,10.165505603232393
4231,6,2021.0,10286.0,1,26.0,31.0,4.0,3,4,6,1,1.0,4.0,5.0,1,1,0,1,1,0,1.0986122886681098,1,0,0,1,10.165505603232393
4232,10,2020.0,46575.0,1,27.0,33.0,3.0,3,4,5,0,1.0,4.0,5.0,1,1,0,1,1,1,1.6094379124341003,0,0,1,1,10.203258756085228
4233,27,2021.0,30464.0,1,25.0,32.0,4.0,3,3,14,2,2.0,4.0,5.0,1,1,1,1,1,1,1.3862943611198906,1,1,1,0,10.373209892223665
4234,13,2019.0,28752.0,5,31.0,40.0,4.0,3,4,1,1,1.0,4.0,5.0,1,1,0,1,1,0,1.6094379124341003,1,1,0,1,10.203258756085228
4235,4,2015.0,54475.0,5,21.0,32.0,4.0,3,4,2,3,1.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,1,0,1,1,9.79762691183662
4236,24,2019.0,17057.0,5,26.0,35.0,4.0,3,4,14,1,2.0,4.0,5.0,1,1,0,1,0,0,1.6094379124341003,1,0,0,1,10.085434038999999
4237,10,2018.0,99255.0,0,27.0,35.0,4.0,3,4,12,3,2.0,4.0,5.0,1,1,1,1,1,0,1.0986122886681098,1,3,1,1,9.588160179264023
4238,22,2017.0,82737.0,8,22.0,29.0,3.0,3,3,1,5,2.0,4.0,5.0,1,1,1,1,1,0,1.3862943611198906,0,0,1,0,9.932609366108146
